version,1.7.0
info,balls_per_over,6
info,team,England
info,team,Sri Lanka
info,gender,male
info,season,2025/26
info,date,2026/02/22
info,event,ICC Men's T20 World Cup
info,match_number,42
info,venue,Pallekele International Cricket Stadium
info,city,Kandy
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,WG Jacks
info,umpire,AT Holdstock
info,umpire,Ahsan Raza
info,reserve_umpire,Asif Yaqoob
info,tv_umpire,Nitin Menon
info,match_referee,AJ Pycroft
info,winner,England
info,winner_runs,51
info,player,England,PD Salt
info,player,England,JC Buttler
info,player,England,JG Bethell
info,player,England,T Banton
info,player,England,HC Brook
info,player,England,SM Curran
info,player,England,WG Jacks
info,player,England,LA Dawson
info,player,England,J Overton
info,player,England,JC Archer
info,player,England,AU Rashid
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,K Mishara
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,P Rathnayake
info,player,Sri Lanka,DN Wellalage
info,player,Sri Lanka,PHKD Mendis
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,MADI Hemantha
info,player,Sri Lanka,PVD Chameera
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,D Madushanka
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,AU Rashid,249d60c9
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,D Madushanka,de7d833e
info,registry,people,DN Wellalage,736123bb
info,registry,people,HC Brook,4ae1755b
info,registry,people,J Overton,59559bc2
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JG Bethell,3c55c703
info,registry,people,K Mishara,65cebd5d
info,registry,people,LA Dawson,4a461c24
info,registry,people,M Theekshana,f24c6701
info,registry,people,MADI Hemantha,58431ca0
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,P Nissanka,8ee36b18
info,registry,people,P Rathnayake,c1fdfb46
info,registry,people,PD Salt,3d284ca3
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PVD Chameera,327b58d3
info,registry,people,SM Curran,e94915e6
info,registry,people,T Banton,25f7b7d6
info,registry,people,WG Jacks,9caf69a1
ball,1,0.1,England,PD Salt,JC Buttler,D Madushanka,1,0,,,,,,"",""
ball,1,0.2,England,JC Buttler,PD Salt,D Madushanka,0,0,,,,,,"",""
ball,1,0.3,England,JC Buttler,PD Salt,D Madushanka,0,0,,,,,,"",""
ball,1,0.4,England,JC Buttler,PD Salt,D Madushanka,1,0,,,,,,"",""
ball,1,0.5,England,PD Salt,JC Buttler,D Madushanka,1,0,,,,,,"",""
ball,1,0.6,England,JC Buttler,PD Salt,D Madushanka,1,0,,,,,,"",""
ball,1,1.1,England,JC Buttler,PD Salt,DN Wellalage,0,0,,,,,,"",""
ball,1,1.2,England,JC Buttler,PD Salt,DN Wellalage,1,0,,,,,,"",""
ball,1,1.3,England,PD Salt,JC Buttler,DN Wellalage,6,0,,,,,,"",""
ball,1,1.4,England,PD Salt,JC Buttler,DN Wellalage,1,0,,,,,,"",""
ball,1,1.5,England,JC Buttler,PD Salt,DN Wellalage,1,0,,,,,,"",""
ball,1,1.6,England,PD Salt,JC Buttler,DN Wellalage,0,0,,,,,,"",""
ball,1,2.1,England,JC Buttler,PD Salt,D Madushanka,2,0,,,,,,"",""
ball,1,2.2,England,JC Buttler,PD Salt,D Madushanka,0,0,,,,,,"",""
ball,1,2.3,England,JC Buttler,PD Salt,D Madushanka,0,0,,,,,,"",""
ball,1,2.4,England,JC Buttler,PD Salt,D Madushanka,0,0,,,,,,"",""
ball,1,2.5,England,JC Buttler,PD Salt,D Madushanka,0,0,,,,,,"",""
ball,1,2.6,England,JC Buttler,PD Salt,D Madushanka,1,0,,,,,,"",""
ball,1,3.1,England,JC Buttler,PD Salt,DN Wellalage,0,0,,,,,,lbw,JC Buttler
ball,1,3.2,England,JG Bethell,PD Salt,DN Wellalage,1,0,,,,,,"",""
ball,1,3.3,England,PD Salt,JG Bethell,DN Wellalage,0,0,,,,,,"",""
ball,1,3.4,England,PD Salt,JG Bethell,DN Wellalage,1,0,,,,,,"",""
ball,1,3.5,England,JG Bethell,PD Salt,DN Wellalage,1,0,,,,,,"",""
ball,1,3.6,England,PD Salt,JG Bethell,DN Wellalage,4,0,,,,,,"",""
ball,1,4.1,England,JG Bethell,PD Salt,D Madushanka,1,0,,,,,,"",""
ball,1,4.2,England,PD Salt,JG Bethell,D Madushanka,0,0,,,,,,"",""
