version,1.7.0
info,balls_per_over,6
info,team,Portugal
info,team,France
info,gender,male
info,season,2026
info,date,2026/04/08
info,event,Portugal T20 Tri-Series
info,match_number,7
info,venue,Santarem Cricket Ground
info,city,Albergaria
info,toss_winner,Portugal
info,toss_decision,bat
info,player_of_match,Mohammad Khan Rafah
info,winner,France
info,winner_wickets,2
info,player,Portugal,D Norotam
info,player,Portugal,C De Freitas
info,player,Portugal,J Martins
info,player,Portugal,Natim Hassam
info,player,Portugal,Edward Fleming
info,player,Portugal,C Potgieter
info,player,Portugal,C Nunes
info,player,Portugal,R Hashu
info,player,Portugal,H Khuttan
info,player,Portugal,U Shantu
info,player,Portugal,S Vaz
info,player,France,Mukhtar Ghulami
info,player,France,L Canessane
info,player,France,Virk Ali
info,player,France,C Roberts
info,player,France,G Mckeon
info,player,France,Zada Sher
info,player,France,Mohammad Khan Rafah
info,player,France,Noman Amjad
info,player,France,Usman Khan
info,player,France,Zaheer Zahiri
info,player,France,Dawood Ahmadzai
info,registry,people,C De Freitas,22072cab
info,registry,people,C Nunes,37ee5d23
info,registry,people,C Potgieter,d3bdc89c
info,registry,people,C Roberts,07ac9c54
info,registry,people,D Norotam,90b73986
info,registry,people,Dawood Ahmadzai,951686f5
info,registry,people,Edward Fleming,2b43be58
info,registry,people,G Mckeon,31366b7e
info,registry,people,H Khuttan,9c48bdee
info,registry,people,J Martins,9c96b71f
info,registry,people,L Canessane,72a4c3b2
info,registry,people,Mohammad Khan Rafah,bb5f73de
info,registry,people,Mukhtar Ghulami,d3b1d991
info,registry,people,Natim Hassam,c802af1c
info,registry,people,Noman Amjad,c079c66a
info,registry,people,R Hashu,a53029a1
info,registry,people,S Vaz,ad67ab56
info,registry,people,U Shantu,0e80e47d
info,registry,people,Usman Khan,e8a552ef
info,registry,people,Virk Ali,f7f7bee0
info,registry,people,Zada Sher,5cf163a5
info,registry,people,Zaheer Zahiri,62f6d8ce
ball,1,0.1,Portugal,D Norotam,C De Freitas,Noman Amjad,4,0,,,,,,"",""
ball,1,0.2,Portugal,D Norotam,C De Freitas,Noman Amjad,0,0,,,,,,"",""
ball,1,0.3,Portugal,D Norotam,C De Freitas,Noman Amjad,0,0,,,,,,"",""
ball,1,0.4,Portugal,D Norotam,C De Freitas,Noman Amjad,0,0,,,,,,"",""
ball,1,0.5,Portugal,D Norotam,C De Freitas,Noman Amjad,0,0,,,,,,"",""
ball,1,0.6,Portugal,D Norotam,C De Freitas,Noman Amjad,1,0,,,,,,"",""
ball,1,1.1,Portugal,D Norotam,C De Freitas,Zaheer Zahiri,2,0,,,,,,"",""
ball,1,1.2,Portugal,D Norotam,C De Freitas,Zaheer Zahiri,2,0,,,,,,"",""
ball,1,1.3,Portugal,D Norotam,C De Freitas,Zaheer Zahiri,4,0,,,,,,"",""
ball,1,1.4,Portugal,D Norotam,C De Freitas,Zaheer Zahiri,4,0,,,,,,"",""
ball,1,1.5,Portugal,D Norotam,C De Freitas,Zaheer Zahiri,0,0,,,,,,"",""
ball,1,1.6,Portugal,D Norotam,C De Freitas,Zaheer Zahiri,1,0,,,,,,"",""
ball,1,2.1,Portugal,D Norotam,C De Freitas,Noman Amjad,4,0,,,,,,"",""
ball,1,2.2,Portugal,D Norotam,C De Freitas,Noman Amjad,2,0,,,,,,"",""
ball,1,2.3,Portugal,D Norotam,C De Freitas,Noman Amjad,0,0,,,,,,"",""
ball,1,2.4,Portugal,D Norotam,C De Freitas,Noman Amjad,0,0,,,,,,"",""
ball,1,2.5,Portugal,D Norotam,C De Freitas,Noman Amjad,4,0,,,,,,"",""
ball,1,2.6,Portugal,D Norotam,C De Freitas,Noman Amjad,4,0,,,,,,"",""
ball,1,3.1,Portugal,C De Freitas,D Norotam,Zaheer Zahiri,0,1,1,,,,,"",""
