version,1.7.0
info,balls_per_over,6
info,team,Guernsey
info,team,Isle of Man
info,gender,male
info,season,2026
info,date,2026/05/03
info,event,Isle of Man tour of Guernsey
info,match_number,2
info,venue,"King George V Sports Ground, Castel"
info,city,Castel
info,toss_winner,Isle of Man
info,toss_decision,field
info,umpire,M Tolcher
info,umpire,Mike Kinder
info,reserve_umpire,Paul Robinson
info,winner,Guernsey
info,winner_runs,40
info,player,Guernsey,LJ Barker
info,player,Guernsey,J Butler
info,player,Guernsey,T Nightingale
info,player,Guernsey,MWR Stokes
info,player,Guernsey,OB Nightingale
info,player,Guernsey,IDA Damarell
info,player,Guernsey,A Bushell
info,player,Guernsey,A Martel
info,player,Guernsey,E Robinson
info,player,Guernsey,LT Bichard
info,player,Guernsey,M Dale-Bradley
info,player,Isle of Man,A McAuley
info,player,Isle of Man,C Hartmann
info,player,Isle of Man,D Jansen
info,player,Isle of Man,C Webster
info,player,Isle of Man,G Newton
info,player,Isle of Man,J Clough
info,player,Isle of Man,CJ Langford
info,player,Isle of Man,C Liebenberg
info,player,Isle of Man,JA Burrows
info,player,Isle of Man,MJ Ansell
info,player,Isle of Man,JJ Griffin
info,registry,people,A Bushell,2d645c00
info,registry,people,A Martel,65cd62a9
info,registry,people,A McAuley,39e599c8
info,registry,people,C Hartmann,467c28f9
info,registry,people,C Liebenberg,83f0b848
info,registry,people,C Webster,f7bf6004
info,registry,people,CJ Langford,3967b66f
info,registry,people,D Jansen,c90346a0
info,registry,people,E Robinson,2719e9a6
info,registry,people,G Newton,57618587
info,registry,people,IDA Damarell,580ae7f2
info,registry,people,J Butler,efcb778e
info,registry,people,J Clough,1f08084c
info,registry,people,JA Burrows,dba54d8e
info,registry,people,JJ Griffin,e511fdf7
info,registry,people,LJ Barker,da1f80f8
info,registry,people,LT Bichard,dfcdb11e
info,registry,people,M Dale-Bradley,62b2aa65
info,registry,people,M Tolcher,be6a4ccb
info,registry,people,MJ Ansell,6e60a792
info,registry,people,MWR Stokes,c573d173
info,registry,people,Mike Kinder,8c773cb0
info,registry,people,OB Nightingale,1deb4c0c
info,registry,people,Paul Robinson,963c674a
info,registry,people,T Nightingale,51a125b3
ball,1,0.1,Guernsey,LJ Barker,J Butler,MJ Ansell,0,0,,,,,,"",""
ball,1,0.2,Guernsey,LJ Barker,J Butler,MJ Ansell,0,0,,,,,,caught,LJ Barker
ball,1,0.3,Guernsey,T Nightingale,J Butler,MJ Ansell,0,0,,,,,,"",""
ball,1,0.4,Guernsey,T Nightingale,J Butler,MJ Ansell,0,0,,,,,,caught,T Nightingale
ball,1,0.5,Guernsey,MWR Stokes,J Butler,MJ Ansell,0,0,,,,,,"",""
ball,1,0.6,Guernsey,MWR Stokes,J Butler,MJ Ansell,0,0,,,,,,"",""
ball,1,1.1,Guernsey,J Butler,MWR Stokes,G Newton,1,0,,,,,,"",""
ball,1,1.2,Guernsey,MWR Stokes,J Butler,G Newton,0,0,,,,,,"",""
ball,1,1.3,Guernsey,MWR Stokes,J Butler,G Newton,1,0,,,,,,"",""
ball,1,1.4,Guernsey,J Butler,MWR Stokes,G Newton,0,0,,,,,,"",""
ball,1,1.5,Guernsey,J Butler,MWR Stokes,G Newton,0,0,,,,,,"",""
ball,1,1.6,Guernsey,J Butler,MWR Stokes,G Newton,0,0,,,,,,"",""
ball,1,2.1,Guernsey,MWR Stokes,J Butler,MJ Ansell,4,0,,,,,,"",""
ball,1,2.2,Guernsey,MWR Stokes,J Butler,MJ Ansell,6,0,,,,,,"",""
ball,1,2.3,Guernsey,MWR Stokes,J Butler,MJ Ansell,4,0,,,,,,"",""
ball,1,2.4,Guernsey,MWR Stokes,J Butler,MJ Ansell,0,0,,,,,,"",""
ball,1,2.5,Guernsey,MWR Stokes,J Butler,MJ Ansell,1,0,,,,,,"",""
ball,1,2.6,Guernsey,J Butler,MWR Stokes,MJ Ansell,1,0,,,,,,"",""
ball,1,3.1,Guernsey,J Butler,MWR Stokes,G Newton,4,0,,,,,,"",""
ball,1,3.2,Guernsey,J Butler,MWR Stokes,G Newton,1,0,,,,,,"",""
ball,1,3.3,Guernsey,MWR Stokes,J Butler,G Newton,1,0,,,,,,"",""
ball,1,3.4,Guernsey,J Butler,MWR Stokes,G Newton,1,0,,,,,,"",""
