version,1.7.0
info,balls_per_over,6
info,team,India
info,team,England
info,gender,male
info,season,2025/26
info,date,2026/03/05
info,event,ICC Men's T20 World Cup
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,England
info,toss_decision,field
info,player_of_match,SV Samson
info,umpire,A Paleker
info,umpire,CB Gaffaney
info,reserve_umpire,PR Reiffel
info,tv_umpire,AT Holdstock
info,match_referee,AJ Pycroft
info,winner,India
info,winner_runs,7
info,player,India,SV Samson
info,player,India,Abhishek Sharma
info,player,India,Ishan Kishan
info,player,India,S Dube
info,player,India,SA Yadav
info,player,India,HH Pandya
info,player,India,Tilak Varma
info,player,India,AR Patel
info,player,India,CV Varun
info,player,India,Arshdeep Singh
info,player,India,JJ Bumrah
info,player,England,PD Salt
info,player,England,JC Buttler
info,player,England,HC Brook
info,player,England,JG Bethell
info,player,England,T Banton
info,player,England,WG Jacks
info,player,England,SM Curran
info,player,England,J Overton
info,player,England,JC Archer
info,player,England,LA Dawson
info,player,England,AU Rashid
info,registry,people,A Paleker,634b11ac
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,AR Patel,2e171977
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,AU Rashid,249d60c9
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,HC Brook,4ae1755b
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Ishan Kishan,752f7486
info,registry,people,J Overton,59559bc2
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JG Bethell,3c55c703
info,registry,people,JJ Bumrah,462411b3
info,registry,people,LA Dawson,4a461c24
info,registry,people,PD Salt,3d284ca3
info,registry,people,PR Reiffel,c9354f29
info,registry,people,S Dube,a4e37e47
info,registry,people,SA Yadav,271f83cd
info,registry,people,SM Curran,e94915e6
info,registry,people,SV Samson,a4cc73aa
info,registry,people,T Banton,25f7b7d6
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,WG Jacks,9caf69a1
ball,1,0.1,India,SV Samson,Abhishek Sharma,JC Archer,0,0,,,,,,"",""
ball,1,0.2,India,SV Samson,Abhishek Sharma,JC Archer,0,0,,,,,,"",""
ball,1,0.3,India,SV Samson,Abhishek Sharma,JC Archer,4,0,,,,,,"",""
ball,1,0.4,India,SV Samson,Abhishek Sharma,JC Archer,6,0,,,,,,"",""
ball,1,0.5,India,SV Samson,Abhishek Sharma,JC Archer,1,0,,,,,,"",""
ball,1,0.6,India,Abhishek Sharma,SV Samson,JC Archer,1,0,,,,,,"",""
ball,1,1.1,India,Abhishek Sharma,SV Samson,WG Jacks,4,0,,,,,,"",""
ball,1,1.2,India,Abhishek Sharma,SV Samson,WG Jacks,0,0,,,,,,"",""
ball,1,1.3,India,Abhishek Sharma,SV Samson,WG Jacks,0,0,,,,,,"",""
ball,1,1.4,India,Abhishek Sharma,SV Samson,WG Jacks,0,0,,,,,,"",""
ball,1,1.5,India,Abhishek Sharma,SV Samson,WG Jacks,4,0,,,,,,"",""
ball,1,1.6,India,Abhishek Sharma,SV Samson,WG Jacks,0,0,,,,,,caught,Abhishek Sharma
ball,1,2.1,India,SV Samson,Ishan Kishan,JC Archer,4,0,,,,,,"",""
ball,1,2.2,India,SV Samson,Ishan Kishan,JC Archer,0,0,,,,,,"",""
ball,1,2.3,India,SV Samson,Ishan Kishan,JC Archer,0,0,,,,,,"",""
ball,1,2.4,India,SV Samson,Ishan Kishan,JC Archer,6,0,,,,,,"",""
ball,1,2.5,India,SV Samson,Ishan Kishan,JC Archer,0,0,,,,,,"",""
ball,1,2.6,India,SV Samson,Ishan Kishan,JC Archer,4,0,,,,,,"",""
ball,1,3.1,India,Ishan Kishan,SV Samson,WG Jacks,1,0,,,,,,"",""
ball,1,3.2,India,SV Samson,Ishan Kishan,WG Jacks,4,0,,,,,,"",""
ball,1,3.3,India,SV Samson,Ishan Kishan,WG Jacks,1,0,,,,,,"",""
ball,1,3.4,India,Ishan Kishan,SV Samson,WG Jacks,4,0,,,,,,"",""
ball,1,3.5,India,Ishan Kishan,SV Samson,WG Jacks,1,0,,,,,,"",""
