version,1.7.0
info,balls_per_over,6
info,team,Canada
info,team,New Zealand
info,gender,male
info,season,2025/26
info,date,2026/02/17
info,event,ICC Men's T20 World Cup
info,match_number,31
info,venue,"MA Chidambaram Stadium, Chepauk, Chennai"
info,city,Chennai
info,toss_winner,Canada
info,toss_decision,bat
info,player_of_match,GD Phillips
info,umpire,J Madanagopal
info,umpire,Sharfuddoula
info,reserve_umpire,Gazi Sohel
info,tv_umpire,Nitin Menon
info,match_referee,AJ Pycroft
info,winner,New Zealand
info,winner_wickets,8
info,player,Canada,YS Samra
info,player,Canada,DS Bajwa
info,player,Canada,NS Dhaliwal
info,player,Canada,NR Kirton
info,player,Canada,H Thaker
info,player,Canada,D Heyliger
info,player,Canada,S Movva
info,player,Canada,Saad Bin Zafar
info,player,Canada,Shivam Sharma
info,player,Canada,Jaskaran Singh
info,player,Canada,Ansh Patel
info,player,New Zealand,TL Seifert
info,player,New Zealand,FH Allen
info,player,New Zealand,R Ravindra
info,player,New Zealand,GD Phillips
info,player,New Zealand,MS Chapman
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,CE McConchie
info,player,New Zealand,JDS Neesham
info,player,New Zealand,KA Jamieson
info,player,New Zealand,MJ Henry
info,player,New Zealand,JA Duffy
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,Ansh Patel,9e76cdb3
info,registry,people,CE McConchie,d285acaf
info,registry,people,D Heyliger,f8c72766
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DS Bajwa,e3540b8c
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,H Thaker,c01d7726
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JA Duffy,dadbdb68
info,registry,people,JDS Neesham,9219eff0
info,registry,people,Jaskaran Singh,d7b3a420
info,registry,people,KA Jamieson,68c56d09
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MS Chapman,7fa12533
info,registry,people,NR Kirton,6b75c2b1
info,registry,people,NS Dhaliwal,cbabd6ad
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,R Ravindra,ba5e1069
info,registry,people,S Movva,ee229588
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Shivam Sharma,5bdeeed4
info,registry,people,TL Seifert,4663bd23
info,registry,people,YS Samra,d02c40ab
ball,1,0.1,Canada,YS Samra,DS Bajwa,MJ Henry,0,0,,,,,,"",""
ball,1,0.2,Canada,YS Samra,DS Bajwa,MJ Henry,0,0,,,,,,"",""
ball,1,0.3,Canada,YS Samra,DS Bajwa,MJ Henry,0,0,,,,,,"",""
ball,1,0.4,Canada,YS Samra,DS Bajwa,MJ Henry,0,0,,,,,,"",""
ball,1,0.5,Canada,YS Samra,DS Bajwa,MJ Henry,4,0,,,,,,"",""
ball,1,0.6,Canada,YS Samra,DS Bajwa,MJ Henry,4,0,,,,,,"",""
ball,1,1.1,Canada,DS Bajwa,YS Samra,JA Duffy,0,0,,,,,,"",""
ball,1,1.2,Canada,DS Bajwa,YS Samra,JA Duffy,0,0,,,,,,"",""
ball,1,1.3,Canada,DS Bajwa,YS Samra,JA Duffy,0,0,,,,,,"",""
ball,1,1.4,Canada,DS Bajwa,YS Samra,JA Duffy,0,0,,,,,,"",""
ball,1,1.5,Canada,DS Bajwa,YS Samra,JA Duffy,4,0,,,,,,"",""
ball,1,1.6,Canada,DS Bajwa,YS Samra,JA Duffy,1,0,,,,,,"",""
ball,1,2.1,Canada,DS Bajwa,YS Samra,MJ Henry,0,0,,,,,,"",""
ball,1,2.2,Canada,DS Bajwa,YS Samra,MJ Henry,0,1,1,,,,,"",""
ball,1,2.3,Canada,DS Bajwa,YS Samra,MJ Henry,1,0,,,,,,"",""
ball,1,2.4,Canada,YS Samra,DS Bajwa,MJ Henry,0,0,,,,,,"",""
ball,1,2.5,Canada,YS Samra,DS Bajwa,MJ Henry,1,0,,,,,,"",""
ball,1,2.6,Canada,DS Bajwa,YS Samra,MJ Henry,0,0,,,,,,"",""
ball,1,2.7,Canada,DS Bajwa,YS Samra,MJ Henry,2,0,,,,,,"",""
ball,1,3.1,Canada,YS Samra,DS Bajwa,JA Duffy,0,0,,,,,,"",""
ball,1,3.2,Canada,YS Samra,DS Bajwa,JA Duffy,1,0,,,,,,"",""
ball,1,3.3,Canada,DS Bajwa,YS Samra,JA Duffy,1,0,,,,,,"",""
ball,1,3.4,Canada,YS Samra,DS Bajwa,JA Duffy,1,0,,,,,,"",""
ball,1,3.5,Canada,DS Bajwa,YS Samra,JA Duffy,4,0,,,,,,"",""
ball,1,3.6,Canada,DS Bajwa,YS Samra,JA Duffy,1,0,,,,,,"",""
ball,1,4.1,Canada,DS Bajwa,YS Samra,KA Jamieson,4,0,,,,,,"",""
ball,1,4.2,Canada,DS Bajwa,YS Samra,KA Jamieson,0,0,,,,,,"",""
ball,1,4.3,Canada,DS Bajwa,YS Samra,KA Jamieson,0,0,,,,,,"",""
ball,1,4.4,Canada,DS Bajwa,YS Samra,KA Jamieson,0,0,,,,,,"",""
ball,1,4.5,Canada,DS Bajwa,YS Samra,KA Jamieson,2,0,,,,,,"",""
ball,1,4.6,Canada,DS Bajwa,YS Samra,KA Jamieson,0,0,,,,,,"",""
ball,1,5.1,Canada,YS Samra,DS Bajwa,JDS Neesham,0,0,,,,,,"",""
ball,1,5.2,Canada,YS Samra,DS Bajwa,JDS Neesham,0,0,,,,,,"",""
ball,1,5.3,Canada,YS Samra,DS Bajwa,JDS Neesham,4,0,,,,,,"",""
ball,1,5.4,Canada,YS Samra,DS Bajwa,JDS Neesham,4,0,,,,,,"",""
ball,1,5.5,Canada,YS Samra,DS Bajwa,JDS Neesham,4,0,,,,,,"",""
ball,1,5.6,Canada,YS Samra,DS Bajwa,JDS Neesham,6,0,,,,,,"",""
ball,1,6.1,Canada,DS Bajwa,YS Samra,CE McConchie,1,0,,,,,,"",""
ball,1,6.2,Canada,YS Samra,DS Bajwa,CE McConchie,1,0,,,,,,"",""
ball,1,6.3,Canada,DS Bajwa,YS Samra,CE McConchie,1,0,,,,,,"",""
ball,1,6.4,Canada,YS Samra,DS Bajwa,CE McConchie,1,0,,,,,,"",""
ball,1,6.5,Canada,DS Bajwa,YS Samra,CE McConchie,0,1,,,,1,,"",""
ball,1,6.6,Canada,YS Samra,DS Bajwa,CE McConchie,1,0,,,,,,"",""
ball,1,7.1,Canada,YS Samra,DS Bajwa,KA Jamieson,0,0,,,,,,"",""
ball,1,7.2,Canada,YS Samra,DS Bajwa,KA Jamieson,4,0,,,,,,"",""
ball,1,7.3,Canada,YS Samra,DS Bajwa,KA Jamieson,0,0,,,,,,"",""
ball,1,7.4,Canada,YS Samra,DS Bajwa,KA Jamieson,1,0,,,,,,"",""
ball,1,7.5,Canada,DS Bajwa,YS Samra,KA Jamieson,1,0,,,,,,"",""
ball,1,7.6,Canada,YS Samra,DS Bajwa,KA Jamieson,1,0,,,,,,"",""
ball,1,8.1,Canada,YS Samra,DS Bajwa,CE McConchie,0,0,,,,,,"",""
ball,1,8.2,Canada,YS Samra,DS Bajwa,CE McConchie,6,0,,,,,,"",""
ball,1,8.3,Canada,YS Samra,DS Bajwa,CE McConchie,1,0,,,,,,"",""
ball,1,8.4,Canada,DS Bajwa,YS Samra,CE McConchie,1,0,,,,,,"",""
ball,1,8.5,Canada,YS Samra,DS Bajwa,CE McConchie,1,0,,,,,,"",""
ball,1,8.6,Canada,DS Bajwa,YS Samra,CE McConchie,1,0,,,,,,"",""
ball,1,9.1,Canada,DS Bajwa,YS Samra,JDS Neesham,0,0,,,,,,"",""
ball,1,9.2,Canada,DS Bajwa,YS Samra,JDS Neesham,1,0,,,,,,"",""
ball,1,9.3,Canada,YS Samra,DS Bajwa,JDS Neesham,0,0,,,,,,"",""
ball,1,9.4,Canada,YS Samra,DS Bajwa,JDS Neesham,0,0,,,,,,"",""
ball,1,9.5,Canada,YS Samra,DS Bajwa,JDS Neesham,0,0,,,,,,"",""
ball,1,9.6,Canada,YS Samra,DS Bajwa,JDS Neesham,1,0,,,,,,"",""
