version,1.7.0
info,balls_per_over,6
info,team,Scotland
info,team,Italy
info,gender,male
info,season,2025/26
info,date,2026/02/09
info,event,ICC Men's T20 World Cup
info,match_number,7
info,venue,"Eden Gardens, Kolkata"
info,city,Kolkata
info,toss_winner,Italy
info,toss_decision,field
info,player_of_match,MA Leask
info,umpire,A Paleker
info,umpire,CM Brown
info,reserve_umpire,DM Koch
info,tv_umpire,SJ Nogajski
info,match_referee,J Srinath
info,winner,Scotland
info,winner_runs,73
info,player,Scotland,HG Munsey
info,player,Scotland,MA Jones
info,player,Scotland,BJ McMullen
info,player,Scotland,RD Berrington
info,player,Scotland,TC Bruce
info,player,Scotland,MA Leask
info,player,Scotland,MH Cross
info,player,Scotland,MRJ Watt
info,player,Scotland,O Davidson
info,player,Scotland,BTJ Wheal
info,player,Scotland,BJ Currie
info,player,Italy,J Mosca
info,player,Italy,AJ Mosca
info,player,Italy,JT Smuts
info,player,Italy,HJ Manenti
info,player,Italy,BAD Manenti
info,player,Italy,G Stewart
info,player,Italy,GP Meade
info,player,Italy,CJPF Kalugamage
info,player,Italy,TJ Draca
info,player,Italy,Ali Hasan
info,player,Italy,WL Madsen
info,registry,people,A Paleker,634b11ac
info,registry,people,AJ Mosca,19c56e6e
info,registry,people,Ali Hasan,cae17490
info,registry,people,BAD Manenti,ab21795b
info,registry,people,BJ Currie,2ecd844a
info,registry,people,BJ McMullen,436c763a
info,registry,people,BTJ Wheal,3f61a062
info,registry,people,CJPF Kalugamage,31c04b7b
info,registry,people,CM Brown,448f4f1c
info,registry,people,DM Koch,6d10c034
info,registry,people,G Stewart,a77472dc
info,registry,people,GP Meade,3957a70a
info,registry,people,HG Munsey,ff014c34
info,registry,people,HJ Manenti,0e56c514
info,registry,people,J Mosca,8f02f6a8
info,registry,people,J Srinath,bad31fac
info,registry,people,JT Smuts,42172c3c
info,registry,people,MA Jones,05f96194
info,registry,people,MA Leask,28131839
info,registry,people,MH Cross,8b261d84
info,registry,people,MRJ Watt,1252f71a
info,registry,people,O Davidson,63249474
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,TC Bruce,f92c9151
info,registry,people,TJ Draca,88fac705
info,registry,people,WL Madsen,86e0f3f0
ball,1,0.1,Scotland,HG Munsey,MA Jones,Ali Hasan,0,0,,,,,,"",""
ball,1,0.2,Scotland,HG Munsey,MA Jones,Ali Hasan,0,0,,,,,,"",""
ball,1,0.3,Scotland,HG Munsey,MA Jones,Ali Hasan,0,0,,,,,,"",""
ball,1,0.4,Scotland,HG Munsey,MA Jones,Ali Hasan,2,0,,,,,,"",""
ball,1,0.5,Scotland,HG Munsey,MA Jones,Ali Hasan,4,0,,,,,,"",""
ball,1,0.6,Scotland,HG Munsey,MA Jones,Ali Hasan,4,0,,,,,,"",""
ball,1,1.1,Scotland,MA Jones,HG Munsey,G Stewart,0,0,,,,,,"",""
ball,1,1.2,Scotland,MA Jones,HG Munsey,G Stewart,1,0,,,,,,"",""
ball,1,1.3,Scotland,HG Munsey,MA Jones,G Stewart,1,0,,,,,,"",""
ball,1,1.4,Scotland,MA Jones,HG Munsey,G Stewart,0,0,,,,,,"",""
ball,1,1.5,Scotland,MA Jones,HG Munsey,G Stewart,1,0,,,,,,"",""
ball,1,1.6,Scotland,HG Munsey,MA Jones,G Stewart,4,0,,,,,,"",""
ball,1,2.1,Scotland,MA Jones,HG Munsey,Ali Hasan,1,0,,,,,,"",""
ball,1,2.2,Scotland,HG Munsey,MA Jones,Ali Hasan,0,0,,,,,,"",""
ball,1,2.3,Scotland,HG Munsey,MA Jones,Ali Hasan,0,0,,,,,,"",""
ball,1,2.4,Scotland,HG Munsey,MA Jones,Ali Hasan,0,0,,,,,,"",""
ball,1,2.5,Scotland,HG Munsey,MA Jones,Ali Hasan,1,0,,,,,,"",""
ball,1,2.6,Scotland,MA Jones,HG Munsey,Ali Hasan,0,0,,,,,,"",""
ball,1,3.1,Scotland,HG Munsey,MA Jones,TJ Draca,0,0,,,,,,"",""
ball,1,3.2,Scotland,HG Munsey,MA Jones,TJ Draca,0,1,1,,,,,"",""
ball,1,3.3,Scotland,HG Munsey,MA Jones,TJ Draca,4,0,,,,,,"",""
ball,1,3.4,Scotland,HG Munsey,MA Jones,TJ Draca,4,0,,,,,,"",""
ball,1,3.5,Scotland,HG Munsey,MA Jones,TJ Draca,4,0,,,,,,"",""
ball,1,3.6,Scotland,HG Munsey,MA Jones,TJ Draca,2,0,,,,,,"",""
